"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R02776","dTDP-6-deoxy-L-talose:NADP+ 4-oxidoreductase"," C00005 +  C00080 +  C00688 <=>  C00006 +  C03187"," NADPH +  H+ +  dTDP-4-dehydro-beta-L-rhamnose <=>  NADP+ +  dTDP-6-deoxy-beta-L-talose",,VERDADEIRO,"12,8"
"R02777","dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase;"," C00005 +  C00080 +  C00688 <=>  C00006 +  C03319"," NADPH +  H+ +  dTDP-4-dehydro-beta-L-rhamnose <=>  NADP+ +  dTDP-L-rhamnose",,VERDADEIRO,"12,8"
"R02778","Trehalose-6-phosphate phosphohydrolase"," C00009 +  C01083 <=>  C00001 +  C00689"," Orthophosphate +  alpha,alpha-Trehalose <=>  H2O +  alpha,alpha'-Trehalose 6-phosphate",,VERDADEIRO,"-13,3"
"R02781","L-Glutamine:2,4,6/3,5-pentahydroxycyclohexanone aminotransferase"," C00940 +  C01214 <=>  C00064 +  C00691"," 2-Oxoglutaramate +  1-Amino-1-deoxy-scyllo-inositol <=>  L-Glutamine +  2,4,6/3,5-Pentahydroxycyclohexanone",,VERDADEIRO,"2,7"
"R02782","2,4,6/3,5-Pentahydroxycyclohexanone hydro-lyase"," C00001 +  C04287 <=>  C00691"," H2O +  3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione <=>  2,4,6/3,5-Pentahydroxycyclohexanone",,VERDADEIRO,"-35,9"
"R02783","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)"," C00008 +  C00009 +  C00692 <=>  C00002 +  C00217 +  C01212"," ADP +  Orthophosphate +  UDP-N-acetylmuramoyl-L-alanyl-D-glutamate <=>  ATP +  D-Glutamate +  UDP-N-acetylmuramoyl-L-alanine",,VERDADEIRO,"-27,8"
"R02786","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase (ADP-forming);"," C00008 +  C00009 +  C05892 <=>  C00002 +  C00047 +  C00692"," ADP +  Orthophosphate +  UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine <=>  ATP +  L-Lysine +  UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",,VERDADEIRO,"-19,2"
"R02788","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming);"," C00008 +  C00009 +  C04877 <=>  C00002 +  C00680 +  C00692"," ADP +  Orthophosphate +  UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate <=>  ATP +  meso-2,6-Diaminoheptanedioate +  UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",,VERDADEIRO,"-24,2"
"R02792","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate:NAD+ 7-oxidoreductase"," C00004 +  C00080 +  C04643 <=>  C00003 +  C00695"," NADH +  H+ +  3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate <=>  NAD+ +  Cholic acid",,VERDADEIRO,"14,5"
"R02793","3alpha,7alpha,12alpha-trihydroxy-5beta-cholanate:NADP+ 12-oxidoreductase"," C00005 +  C00080 +  C01292 <=>  C00006 +  C00695"," NADPH +  H+ +  3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate <=>  NADP+ +  Cholic acid",,VERDADEIRO,"12,8"
"R02794","Cholate:CoA ligase (AMP-forming)"," C00013 +  C00020 +  C01794 <=>  C00002 +  C00010 +  C00695"," Diphosphate +  AMP +  Choloyl-CoA <=>  ATP +  CoA +  Cholic acid",,VERDADEIRO,"-10,4"
"R02797","Taurocholate amidohydrolase"," C00245 +  C00695 <=>  C00001 +  C05122"," Taurine +  Cholic acid <=>  H2O +  Taurocholate",,VERDADEIRO,"NaN"
"R02798","None"," C00001 +  C11637 <=>  C00695"," H2O +  3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate <=>  Cholic acid",,VERDADEIRO,"-38,9"
"R02799","11-epi-Prostaglandin F2alpha:NADP+ 11-oxidoreductase"," C00005 +  C00080 +  C00696 <=>  C00006 +  C05959"," NADPH +  H+ +  Prostaglandin D2 <=>  NADP+ +  11-epi-Prostaglandin F2alpha",,VERDADEIRO,"12,8"
"R02800","(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate:NADP+ 15-oxidoreductase"," C00005 +  C00080 +  C04758 <=>  C00006 +  C00696"," NADPH +  H+ +  (5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate <=>  NADP+ +  Prostaglandin D2",,VERDADEIRO,"4,3"
"R02801","None"," C00001 +  C05957 <=>  C00696"," H2O +  Prostaglandin J2 <=>  Prostaglandin D2",,VERDADEIRO,"-38,9"
"R02805","P1,P4-Bis(5'-nucleosyl)-tetraphosphate nucleotidohydrolase"," C00655 +  C00700 <=>  C00001 +  C04392"," Xanthosine 5'-phosphate +  XTP <=>  H2O +  P1,P4-Bis(5'-xanthosyl) tetraphosphate",,VERDADEIRO,"-45,8"
"R02807","Hg:NADP+ oxidoreductase"," C00005 +  C00703 <=>  C00006 +  C00080 +  C01319"," NADPH +  Mercury(2+) <=>  NADP+ +  H+ +  Hg",,VERDADEIRO,"NaN"
"R02810","iodide:hydrogen-peroxide oxidoreductase","2 C00001 +  C01382 <=>  C00027 + 2 C00080 + 2 C00708","2 H2O +  Iodine <=>  Hydrogen peroxide + 2 H+ + 2 Iodide",,VERDADEIRO,"NaN"
"R02813","(R)-10-Hydroxystearate 10-hydro-lyase"," C00001 +  C00712 <=>  C03195"," H2O +  (9Z)-Octadecenoic acid <=>  (R)-10-Hydroxystearate",,VERDADEIRO,"3,9"
"R02815","2-Amino-4-hydroxypteridine aminohydrolase"," C00014 +  C03212 <=>  C00001 +  C00715"," Ammonia +  2,4-Dihydroxypteridine <=>  H2O +  Pterin",,VERDADEIRO,"-25,4"
"R02817","serine-phosphoethanolamine ethanolaminephosphohydrolase"," C00065 +  C00346 <=>  C00001 +  C03872"," L-Serine +  Ethanolamine phosphate <=>  H2O +  L-Serine-phosphoethanolamine",,VERDADEIRO,"NaN"
"R02821","Trimethylaminoacetate:L-homosysteine S-methyltransferase"," C00073 +  C01026 <=>  C00155 +  C00719"," L-Methionine +  N,N-Dimethylglycine <=>  L-Homocysteine +  Betaine",,VERDADEIRO,"NaN"
"R02825","5-Aminopentanoate:lipoate oxidoreductase (cyclizing)"," C00763 +  C02147 <=>  C00431 +  C00725"," D-Proline +  Dihydrolipoate <=>  5-Aminopentanoate +  Lipoate",,VERDADEIRO,"NaN"
"R02830","orcinol,NADH:oxygen oxidoreductase (2-hydroxylating)"," C00004 +  C00007 +  C00080 +  C00727 =>  C00001 +  C00003 +  C03338"," NADH +  Oxygen +  H+ +  Orcinol =>  H2O +  NAD+ +  2,3,5-Trihydroxytoluene",,FALSO,"-395,2"
"R02831","Orsellinate carboxy-lyase"," C00011 +  C00727 <=>  C01839"," CO2 +  Orcinol <=>  Orsellinate",,VERDADEIRO,"0,3"
"R02832","pseudotropine:NADP+ 3-oxidoreductase"," C00005 +  C00080 +  C00783 <=>  C00006 +  C00729"," NADPH +  H+ +  Tropinone <=>  NADP+ +  Tropine",,VERDADEIRO,"12,8"
"R02834","Cortisol:NAD+ 11-oxidoreductase"," C00004 +  C00080 +  C00762 <=>  C00003 +  C00735"," NADH +  H+ +  Cortisone <=>  NAD+ +  Cortisol",,VERDADEIRO,"14,5"
"R02836","Cortisol:NADP+ 11-oxidoreductase"," C00005 +  C00080 +  C00762 <=>  C00006 +  C00735"," NADPH +  H+ +  Cortisone <=>  NADP+ +  Cortisol",,VERDADEIRO,"12,8"
"R02837","Acetyl-CoA:cortisol O-acetyltransferase"," C00010 +  C02821 <=>  C00024 +  C00735"," CoA +  Cortisol 21-acetate <=>  Acetyl-CoA +  Cortisol",,VERDADEIRO,"-18,8"
"R02839","3'-Phosphoadenylylsulfate:cortisol 21-sulfotransferase"," C00054 +  C02822 <=>  C00053 +  C00735"," Adenosine 3',5'-bisphosphate +  Cortisol 21-sulfate <=>  3'-Phosphoadenylyl sulfate +  Cortisol",,VERDADEIRO,"NaN"
"R02840","Cortisol delta5-delat4-isomerase;"," C00003 +  C05489 <=>  C00004 +  C00080 +  C00735"," NAD+ +  11beta,17alpha,21-Trihydroxypregnenolone <=>  NADH +  H+ +  Cortisol",,VERDADEIRO,"-14,5"
"R02841","11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione:NADP+ delta4-oxidoreductase;"," C00005 +  C00080 +  C00735 <=>  C00006 +  C05471"," NADPH +  H+ +  Cortisol <=>  NADP+ +  11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione",,VERDADEIRO,"NaN"
"R02846","Cysteine hydrogen-sulfide-lyase (adding HCN)"," C00283 +  C02512 <=>  C00177 +  C00736"," Hydrogen sulfide +  3-Cyano-L-alanine <=>  Cyanide ion +  Cysteine",,VERDADEIRO,"NaN"
"R02848","ATP:D-hexose 6-phosphotransferase"," C00008 +  C02965 <=>  C00002 +  C00738"," ADP +  D-Hexose 6-phosphate <=>  ATP +  D-Hexose",,VERDADEIRO,-15
"R02849","ITP:D-hexose 6-phosphotransferase"," C00104 +  C02965 <=>  C00081 +  C00738"," IDP +  D-Hexose 6-phosphate <=>  ITP +  D-Hexose",,VERDADEIRO,"-14,9"
"R02850","dATP:D-hexose 6-phosphotransferase"," C00206 +  C02965 <=>  C00131 +  C00738"," dADP +  D-Hexose 6-phosphate <=>  dATP +  D-Hexose",,VERDADEIRO,-15
"R02852","D-2,6-Diaminohexanoic acid 5,6-aminomutase"," C05161 <=>  C00739"," 2,5-Diaminohexanoate <=>  D-Lysine",,VERDADEIRO,"-0,3"
"R02853","D-O-Phosphoserine phosphohydrolase"," C00009 +  C00740 <=>  C00001 +  C02532"," Orthophosphate +  D-Serine <=>  H2O +  O-Phospho-D-serine",,VERDADEIRO,"-13,2"
"R02855","(R)-Acetoin:NAD+ oxidoreductase"," C00004 +  C00080 +  C00741 <=>  C00003 +  C00810"," NADH +  H+ +  Diacetyl <=>  NAD+ +  (R)-Acetoin",,VERDADEIRO,"17,8"
"R02856","None"," C00005 +  C00080 +  C00741 <=>  C00006 +  C00810"," NADPH +  H+ +  Diacetyl <=>  NADP+ +  (R)-Acetoin",,VERDADEIRO,"16,1"
"R02857","None"," C00001 +  C06108 <=>  C00160 +  C16487"," H2O +  Fluoroacetate <=>  Glycolate +  Hydrofluoric acid",,VERDADEIRO,"NaN"
"R02858","S-adenosyl-L-methionine:macrocin 3'''-O-methyltransferase"," C00021 +  C01457 <=>  C00019 +  C00744"," S-Adenosyl-L-homocysteine +  Tylosin <=>  S-Adenosyl-L-methionine +  Macrocin",,VERDADEIRO,"NaN"
"R02859","S-Adenosyl-L-methionine:demethylmacrocin 2'''-O-methyltransferase"," C00021 +  C00744 <=>  C00019 +  C02400"," S-Adenosyl-L-homocysteine +  Macrocin <=>  S-Adenosyl-L-methionine +  Demethylmacrocin",,VERDADEIRO,"NaN"
"R02861","None"," C00253 +  C06178 <=>  C00011 +  C00080 +  C00745"," Nicotinate +  1-Methylpyrrolinium <=>  CO2 +  H+ +  Nicotine",,VERDADEIRO,"NaN"
"R02862","S-Adenosyl-L-methionine:pyridine N-methyltransferase"," C00021 +  C02724 <=>  C00019 +  C00747"," S-Adenosyl-L-homocysteine +  N-Methylpyridinium <=>  S-Adenosyl-L-methionine +  Pyridine",,VERDADEIRO,"NaN"
"R02863","Thiamin:beta 2-methyl-4-aminopyrimidine-5-methenyltransferase"," C02691 +  C04294 <=>  C00378 +  C00747"," Heteropyrithiamine +  5-(2-Hydroxyethyl)-4-methylthiazole <=>  Thiamine +  Pyridine",,VERDADEIRO,0
"R02864","S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase"," C05778 +  C14818 <=> 2 C00080 +  C00748"," Sirohydrochlorin +  Fe2+ <=> 2 H+ +  Siroheme",,VERDADEIRO,"NaN"
"R02865","ATP:D-hexose 6-phosphotransferase"," C00008 +  C01096 <=>  C00002 +  C00794"," ADP +  Sorbitol 6-phosphate <=>  ATP +  D-Sorbitol",,VERDADEIRO,"-15,1"
"R02866","Sorbitol-6-phosphate phosphohydrolase"," C00009 +  C00794 <=>  C00001 +  C01096"," Orthophosphate +  D-Sorbitol <=>  H2O +  Sorbitol 6-phosphate",,VERDADEIRO,"-13,2"
"R02867","ITP:D-hexose 6-phosphotransferase"," C00104 +  C01096 <=>  C00081 +  C00794"," IDP +  Sorbitol 6-phosphate <=>  ITP +  D-Sorbitol",,VERDADEIRO,-15
"R02868","dATP:D-hexose 6-phosphotransferase"," C00206 +  C01096 <=>  C00131 +  C00794"," dADP +  Sorbitol 6-phosphate <=>  dATP +  D-Sorbitol",,VERDADEIRO,"-15,1"
"R02869","S-adenosylmethioninamine:spermidine 3-aminopropyltransferase"," C00170 +  C00750 <=>  C00315 +  C01137"," 5'-Methylthioadenosine +  Spermine <=>  Spermidine +  S-Adenosylmethioninamine",,VERDADEIRO,"NaN"
"R02872","presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming)"," C00006 +  C00013 +  C00751 <=>  C00005 +  C00080 +  C03428"," NADP+ +  Diphosphate +  Squalene <=>  NADPH +  H+ +  Presqualene diphosphate",,VERDADEIRO,"-58,6"
"R02874","squalene,NADPH:oxygen oxidoreductase (2,3-epoxidizing)"," C00005 +  C00007 +  C00080 +  C00751 =>  C00001 +  C00006 +  C01054"," NADPH +  Oxygen +  H+ +  Squalene =>  H2O +  NADP+ +  (S)-2,3-Epoxysqualene",,FALSO,"-414,9"
"R02875","squalene hydro-lyase (tetrahymanol forming)"," C06083 <=>  C00001 +  C00751"," Tetrahymanol <=>  H2O +  Squalene",,VERDADEIRO,"NaN"
"R02877","Vanillyl alcohol:oxygen oxidoreductase"," C00007 +  C06317 =>  C00027 +  C00755"," Oxygen +  Vanillyl alcohol =>  Hydrogen peroxide +  4-Hydroxy-3-methoxy-benzaldehyde",,FALSO,-110
"R02878","1-Octanol:NAD+ oxidoreductase"," C00004 +  C00080 +  C01545 <=>  C00003 +  C00756"," NADH +  H+ +  1-Octanal <=>  NAD+ +  1-Octanol",,VERDADEIRO,"20,4"
"R02880","(S)-Tetrahydroberberine:oxigen oxidoreductase","2 C00007 +  C00080 +  C03329 => 2 C00027 +  C00757","2 Oxygen +  H+ +  (S)-Canadine => 2 Hydrogen peroxide +  Berberine",,FALSO,"NaN"
"R02882","S-Adenosyl-L-methionine:bergaptol O-methyltransferase"," C00021 +  C01557 <=>  C00019 +  C00758"," S-Adenosyl-L-homocysteine +  Bergapten <=>  S-Adenosyl-L-methionine +  Bergaptol",,VERDADEIRO,"NaN"
"R02892","4,5alpha-dihydrocortisone:NADP+ delta4-oxidoreductase"," C00005 +  C00080 +  C00762 <=>  C00006 +  C03588"," NADPH +  H+ +  Cortisone <=>  NADP+ +  4,5alpha-Dihydrocortisone",,VERDADEIRO,"NaN"
"R02893","17alpha,21-dihydroxy-5beta-pregnane-3,11,20-trione:NADP+ delta4-oxidoreductase"," C00005 +  C00080 +  C00762 <=>  C00006 +  C05469"," NADPH +  H+ +  Cortisone <=>  NADP+ +  17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione",,VERDADEIRO,"NaN"
"R02894","D-Proline:oxygen oxidoreductase"," C00007 +  C00763 =>  C00027 +  C03564"," Oxygen +  D-Proline =>  Hydrogen peroxide +  1-Pyrroline-2-carboxylate",,FALSO,"-88,4"
"R02895","None"," C05939 <=>  C00064 +  C00763"," Linatine <=>  L-Glutamine +  D-Proline",,VERDADEIRO,"NaN"
"R02896","D-Iditol:NAD+ 2-oxidoreductase"," C00004 +  C00080 +  C00764 <=>  C00003 +  C01489"," NADH +  H+ +  D-Sorbose <=>  NAD+ +  D-Iditol",,VERDADEIRO,"13,3"
"R02897","UDPglucose:flavanone 7-O-beta-D-glucosyltransferase"," C00015 +  C09099 <=>  C00029 +  C00509"," UDP +  Naringenin 7-O-beta-D-glucoside <=>  UDP-glucose +  Naringenin",,VERDADEIRO,"-32,4"
"R02898","Flavanone lyase (decyclizing)"," C09321 <=>  C00766"," 2'-Hydroxychalcone <=>  Flavanone",,VERDADEIRO,"-83,8"
"R02901","Phloretin 1,3,5-trihydroxy-benzenehydrolase"," C01744 +  C02183 <=>  C00001 +  C00774"," Phloretate +  Phloroglucinol <=>  H2O +  Phloretin",,VERDADEIRO,"-34,1"
"R02902","None"," C00015 +  C11061 <=>  C00167 +  C00777"," UDP +  all-trans-Retinoyl-beta-glucuronide <=>  UDP-glucuronate +  Retinoate",,VERDADEIRO,"-10,5"
"R02906","scytalone:NADP+ delta5-oxidoreductase"," C00005 +  C00080 +  C04033 <=>  C00006 +  C00779"," NADPH +  H+ +  1,3,6,8-Naphthalenetetrol <=>  NADP+ +  Scytalone",,VERDADEIRO,"-28,9"
"R02907","Scytalone 7,8-hydro-lyase"," C00001 +  C01173 <=>  C00779"," H2O +  1,3,8-Naphthalenertriol <=>  Scytalone",,VERDADEIRO,"-81,7"
"R02908","5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)"," C00001 +  C00007 +  C00780 =>  C00014 +  C00027 +  C05634"," H2O +  Oxygen +  Serotonin =>  Ammonia +  Hydrogen peroxide +  5-Hydroxyindoleacetaldehyde",,FALSO,"-92,8"
"R02909","5-hydroxytryptamine:oxygen 2,3-dioxygenase (indole-decyclizing)"," C00007 +  C00780 =>  C05647"," Oxygen +  Serotonin =>  Formyl-5-hydroxykynurenamine",,FALSO,"-268,6"
"R02910","S-Adenosyl-L-methionine:amine N-methyltransferase"," C00021 +  C06212 <=>  C00019 +  C00780"," S-Adenosyl-L-homocysteine +  N-Methylserotonin <=>  S-Adenosyl-L-methionine +  Serotonin",,VERDADEIRO,"NaN"
"R02911","Acetyl-CoA:aralkylamine N-acetyltransferase"," C00010 +  C00978 <=>  C00024 +  C00780"," CoA +  N-Acetylserotonin <=>  Acetyl-CoA +  Serotonin",,VERDADEIRO,"-21,7"
"R02912","serotonin O-methyltransferase"," C00101 +  C05659 <=>  C00440 +  C00780"," Tetrahydrofolate +  5-Methoxytryptamine <=>  5-Methyltetrahydrofolate +  Serotonin",,VERDADEIRO,"-34,1"
"R02914","4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase"," C00001 +  C00785 <=>  C03680"," H2O +  Urocanate <=>  4-Imidazolone-5-propanoate",,VERDADEIRO,5
"R02915","Medicarpin:NADP+ 2'-oxidoreductase"," C00005 +  C00080 +  C00786 <=>  C00001 +  C00006 +  C10503"," NADPH +  H+ +  (-)-Vestitone <=>  H2O +  NADP+ +  Medicarpin",,VERDADEIRO,"-77,6"
"R02919","4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"," C00001 +  C00007 +  C00788 =>  C00027 +  C00218 +  C05577"," H2O +  Oxygen +  L-Adrenaline =>  Hydrogen peroxide +  Methylamine +  3,4-Dihydroxymandelaldehyde",,FALSO,"-90,5"
"R02920","S-Adenosyl-L-methionine:catechol O-methyltransferase"," C00021 +  C05588 <=>  C00019 +  C00788"," S-Adenosyl-L-homocysteine +  L-Metanephrine <=>  S-Adenosyl-L-methionine +  L-Adrenaline",,VERDADEIRO,"NaN"
"R02921","CTP:D-ribitol-5-phosphate cytidylyltransferase"," C00013 +  C00789 <=>  C00063 +  C01068"," Diphosphate +  CDP-ribitol <=>  CTP +  D-Ribitol 5-phosphate",,VERDADEIRO,"0,6"
"R02922","Creatinine iminohydrolase"," C00014 +  C02565 <=>  C00001 +  C00791"," Ammonia +  N-Methylhydantoin <=>  H2O +  Creatinine",,VERDADEIRO,-12
"R02923","D-Arginine:oxygen oxidoreductase (deaminating)"," C00001 +  C00007 +  C00792 =>  C00014 +  C00027 +  C03771"," H2O +  Oxygen +  D-Arginine =>  Ammonia +  Hydrogen peroxide +  5-Guanidino-2-oxopentanoate",,FALSO,"-102,6"
"R02925","D-Sorbitol:(acceptor) 1-oxidoreductase"," C00247 +  C01352 <=>  C00016 +  C00794"," L-Sorbose +  FADH2 <=>  FAD +  D-Sorbitol",,VERDADEIRO,"-23,9"
"R02926","Melibiitol galactohydrolase"," C00124 +  C00794 <=>  C00001 +  C05399"," D-Galactose +  D-Sorbitol <=>  H2O +  Melibiitol",,VERDADEIRO,"-6,2"
"R02927","ATP:D-tagatose 6-phosphotransferase"," C00008 +  C01097 <=>  C00002 +  C00795"," ADP +  D-Tagatose 6-phosphate <=>  ATP +  D-Tagatose",,VERDADEIRO,"-15,1"
"R02928","Galactitol:NAD+ 2-oxidoreductase"," C00004 +  C00080 +  C00795 <=>  C00003 +  C01697"," NADH +  H+ +  D-Tagatose <=>  NAD+ +  Galactitol",,VERDADEIRO,"13,3"
"R02929","L-Glutamate:ethylamine ligase (ADP-forming)"," C00008 +  C00009 +  C01047 <=>  C00002 +  C00025 +  C00797"," ADP +  Orthophosphate +  N5-Ethyl-L-glutamine <=>  ATP +  L-Glutamate +  Ethylamine",,VERDADEIRO,"-22,9"
"R02930","N5-Ethyl-L-glutamine amidohydrolase"," C00025 +  C00797 <=>  C00001 +  C01047"," L-Glutamate +  Ethylamine <=>  H2O +  N5-Ethyl-L-glutamine",,VERDADEIRO,"-5,3"
"R02931","S-Adenosyl-L-methionine:isoflavone 4-O'-methyltransferase"," C00021 +  C00814 <=>  C00019 +  C06563"," S-Adenosyl-L-homocysteine +  Biochanin A <=>  S-Adenosyl-L-methionine +  Genistein",,VERDADEIRO,"NaN"
"R02932","UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase"," C00015 +  C09126 <=>  C00029 +  C06563"," UDP +  Genistein 7-O-beta-D-glucoside <=>  UDP-glucose +  Genistein",,VERDADEIRO,"-32,2"
"R02933","L-Gulono-1,4-lactone lactonohydrolase"," C00800 <=>  C00001 +  C01040"," L-Gulonate <=>  H2O +  L-Gulono-1,4-lactone",,VERDADEIRO,"-29,1"
"R02935","(S)-ureidoglycolate:NAD+ oxidoreductase"," C00004 +  C00080 +  C00802 <=>  C00003 +  C00603"," NADH +  H+ +  Oxalureate <=>  NAD+ +  (-)-Ureidoglycolate",,VERDADEIRO,"-100,5"
"R02936","(S)-Ureidoglycolate:NADP+ oxidoreductase"," C00005 +  C00080 +  C00802 <=>  C00006 +  C00603"," NADPH +  H+ +  Oxalureate <=>  NADP+ +  (-)-Ureidoglycolate",,VERDADEIRO,"-102,2"
"R02937","Carbamoyl-phosphate:oxamate carbamoyltransferase"," C00009 +  C00802 <=>  C00169 +  C01444"," Orthophosphate +  Oxalureate <=>  Carbamoyl phosphate +  Oxamate",,VERDADEIRO,"-95,1"
"R02938","Pentanamide amidohydrolase"," C00014 +  C00803 <=>  C00001 +  C01842"," Ammonia +  Pentanoate <=>  H2O +  Pentanamide",,VERDADEIRO,"-25,6"
"R02940","2-Propyn-1-al:NAD+ oxidoreductase"," C00004 +  C00080 +  C00804 <=>  C00001 +  C00003 +  C05985"," NADH +  H+ +  Propynoate <=>  H2O +  NAD+ +  2-Propynal",,VERDADEIRO,"-45,2"
"R02941","salicylaldehyde:NAD+ oxidoreductase"," C00004 +  C00080 +  C00805 <=>  C00001 +  C00003 +  C06202"," NADH +  H+ +  Salicylate <=>  H2O +  NAD+ +  Salicylaldehyde",,VERDADEIRO,-45
"R02942","Acetylsalicylate O-acetylhydrolase"," C00033 +  C00805 <=>  C00001 +  C01405"," Acetate +  Salicylate <=>  H2O +  Aspirin",,VERDADEIRO,"1,6"
"R02943","None"," C00013 +  C06067 <=>  C00235 +  C00806"," Diphosphate +  Dimethylallyltryptophan <=>  Dimethylallyl diphosphate +  Tryptophan",,VERDADEIRO,-87
"R02944","(+)-borneol:NAD+ oxidoreductase"," C00004 +  C00080 +  C00808 <=>  C00003 +  C01765"," NADH +  H+ +  (+)-Camphor <=>  NAD+ +  (+)-Borneol",,VERDADEIRO,"14,5"
"R02945","(-)-borneol:NAD+ oxidoreductase"," C00004 +  C00080 +  C00809 <=>  C00003 +  C01766"," NADH +  H+ +  (-)-Camphor <=>  NAD+ +  (-)-Borneol",,VERDADEIRO,"14,5"
"R02946","(R,R)-Butane-2,3-diol:NAD+ oxidoreductase"," C00004 +  C00080 +  C00810 <=>  C00003 +  C03044"," NADH +  H+ +  (R)-Acetoin <=>  NAD+ +  (R,R)-Butane-2,3-diol",,VERDADEIRO,"17,8"
"R02948","(S)-2-hydroxy-2-methyl-3-oxobutanoate carboxy-lyase"," C00011 +  C00810 <=>  C06010"," CO2 +  (R)-Acetoin <=>  (S)-2-Acetolactate",,VERDADEIRO,"-7,1"
"R02949","(R)-Acetoin racemase"," C01769 <=>  C00810"," (S)-Acetoin <=>  (R)-Acetoin",,VERDADEIRO,0
"R02951","UDPglucose:trans-4-hydroxycinnamate 4-O-beta-D-glucosyltransferase"," C00015 +  C04415 <=>  C00029 +  C00811"," UDP +  4-O-beta-D-Glucosyl-4-hydroxycinnamate <=>  UDP-glucose +  4-Coumarate",,VERDADEIRO,"-32,9"
"R02952","phenylacrylic acid decarboxylase"," C00011 +  C05627 <=>  C00811"," CO2 +  4-Hydroxystyrene <=>  4-Coumarate",,VERDADEIRO,"-13,1"
"R02954","Dihydrobiochanin-A:NADP+ delta2-oxidoreductase"," C00005 +  C00080 +  C00814 <=>  C00006 +  C02675"," NADPH +  H+ +  Biochanin A <=>  NADP+ +  Dihydrobiochanin A",,VERDADEIRO,"NaN"
"R02955","Acetyl-CoA:citramalate CoA-transferase"," C00033 +  C01011 <=>  C00024 +  C00815"," Acetate +  (3S)-Citramalyl-CoA <=>  Acetyl-CoA +  Citramalate",,VERDADEIRO,"-3,6"
"R02957","D-Glucuronolactone:NAD+ oxidoreductase"," C00004 +  C00080 +  C00818 <=> 2 C00001 +  C00003 +  C02670"," NADH +  H+ +  D-Glucarate <=> 2 H2O +  NAD+ +  D-Glucuronolactone",,VERDADEIRO,"-75,4"
"R02962","None"," C05604 <=>  C00822"," 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole <=>  Dopaquinone",,VERDADEIRO,-31
"R02963","Lactoyl-CoA hydro-lyase"," C00001 +  C00894 <=>  C00827"," H2O +  Propenoyl-CoA <=>  Lactoyl-CoA",,VERDADEIRO,"9,9"
"R02968","naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating)"," C00004 +  C00007 +  C00080 +  C00829 =>  C00003 +  C04314"," NADH +  Oxygen +  H+ +  Naphthalene =>  NAD+ +  cis-1,2-Dihydronaphthalene-1,2-diol",,FALSO,"-320,1"
"R02969","Hydroxymalonate:NAD+ oxidoreductase"," C00004 +  C00080 +  C00830 <=>  C00003 +  C02287"," NADH +  H+ +  Oxomalonate <=>  NAD+ +  Hydroxymalonate",,VERDADEIRO,"17,8"
"R02970","L-Alanine:oxomalonate aminotransferase"," C00041 +  C00830 <=>  C00022 +  C00872"," L-Alanine +  Oxomalonate <=>  Pyruvate +  Aminomalonate",,VERDADEIRO,-1
"R02971","ATP:pantothenate 4'-phosphotransferase"," C00008 +  C01134 <=>  C00002 +  C00831"," ADP +  Pantetheine 4'-phosphate <=>  ATP +  Pantetheine",,VERDADEIRO,"-15,3"
"R02972","N-((R)-Pantothenoyl)-L-cysteine carboxy-lyase"," C00011 +  C00831 <=>  C04079"," CO2 +  Pantetheine <=>  N-((R)-Pantothenoyl)-L-cysteine",,VERDADEIRO,"-18,7"
