"Network generated with CoA and NTP coupled reactions replaced with Pantetheine and Pyrophosphate (respectively), and unbalanced FAD/NAD(P)-dependent half reactions included",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Delta G cutoff [kJ/mol]",,,,,,,,,,,
"C00606","3-Sulfino-L-alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C00611","N-Acetyllactosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C00617","UDP-D-galacturonate",1,1,1,1,1,1,1,1,1,1,0,0
"C00618","3-Dehydro-L-gulonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00620","alpha-D-Ribose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00623","sn-Glycerol 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00624","N-Acetyl-L-glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C00627","Pyridoxine phosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C00630","2-Methylpropanoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00631","2-Phospho-D-glycerate",1,1,1,1,1,1,1,1,1,1,1,1
"C00632","3-Hydroxyanthranilate",1,1,1,1,1,1,1,1,1,1,1,1
"C00633","4-Hydroxybenzaldehyde",1,1,1,1,1,0,0,0,0,0,0,0
"C00636","D-Mannose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00637","Indole-3-acetaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00642","4-Hydroxyphenylacetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00644","D-Mannitol 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00645","N-Acetyl-D-mannosamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00647","Pyridoxamine phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00652","D-Arabinono-1,4-lactone",1,1,1,1,1,1,1,1,1,1,1,1
"C00655","Xanthosine 5'-phosphate",1,1,1,1,1,1,0,0,0,0,0,0
"C00663","beta-D-Glucose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00664","5-Formiminotetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00665","beta-D-Fructose 2,6-bisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C00666","LL-2,6-Diaminoheptanedioate",1,1,1,1,1,1,1,1,1,1,1,1
"C00668","alpha-D-Glucose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00669","gamma-L-Glutamyl-L-cysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00670","sn-Glycero-3-phosphocholine",1,1,1,1,1,1,1,1,0,0,0,0
"C00671","(S)-3-Methyl-2-oxopentanoic acid",1,0,0,0,0,0,0,0,0,0,0,0
"C00672","2-Deoxy-D-ribose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00673","2-Deoxy-D-ribose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00679","5-Dehydro-4-deoxy-D-glucarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00680","meso-2,6-Diaminoheptanedioate",1,1,1,1,1,1,1,1,1,1,1,1
"C00682","2-Hydroxymuconate semialdehyde",1,1,1,1,0,0,0,0,0,0,0,0
"C00683","(S)-Methylmalonyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00684","2-Dehydro-3-deoxy-L-arabinonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00688","dTDP-4-dehydro-beta-L-rhamnose",1,1,1,1,1,1,0,0,0,0,0,0
"C00689","alpha,alpha'-Trehalose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00691","2,4,6/3,5-Pentahydroxycyclohexanone",1,1,1,1,1,1,1,1,1,1,1,0
"C00692","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",1,1,1,1,1,1,1,1,1,1,0,0
"C00697","Nitrogen",1,1,1,1,1,1,1,1,1,1,1,1
"C00700","XTP",1,1,1,1,1,1,0,0,0,0,0,0
"C00705","dCDP",1,1,1,1,1,1,1,1,0,0,0,0
"C00716","Serine",1,1,1,1,1,1,0,0,0,0,0,0
"C00719","Betaine",1,1,1,1,1,1,1,1,1,1,1,1
"C00736","Cysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00739","D-Lysine",1,1,1,1,1,1,1,1,1,1,1,1
"C00740","D-Serine",1,1,1,1,1,1,1,1,1,1,1,1
"C00741","Diacetyl",1,1,1,1,1,1,1,1,1,1,0,0
"C00750","Spermine",1,1,1,1,1,1,1,1,1,1,1,1
"C00751","Squalene",1,0,0,0,0,0,0,0,0,0,0,0
"C00755","4-Hydroxy-3-methoxy-benzaldehyde",1,1,1,1,1,0,0,0,0,0,0,0
"C00761","Coniferin",1,0,0,0,0,0,0,0,0,0,0,0
"C00763","D-Proline",1,1,1,1,1,1,1,1,1,1,1,1
"C00764","D-Sorbose",1,1,1,1,1,1,1,1,1,1,1,1
"C00770","L-Idonate",1,1,1,1,1,1,1,1,1,1,0,0
"C00772","Mevaldate",1,0,0,0,0,0,0,0,0,0,0,0
"C00785","Urocanate",1,1,1,1,1,1,1,1,1,1,1,1
"C00789","CDP-ribitol",1,1,1,1,1,1,1,1,1,1,0,0
"C00791","Creatinine",1,1,1,1,1,1,1,1,1,1,1,1
"C00792","D-Arginine",1,1,1,1,1,1,1,1,1,1,1,1
"C00793","D-Cysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00794","D-Sorbitol",1,1,1,1,1,1,1,1,1,1,1,1
"C00795","D-Tagatose",1,1,1,1,1,1,1,1,1,1,1,1
"C00798","Formyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00800","L-Gulonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00802","Oxalureate",1,1,1,1,1,1,1,1,1,1,1,1
"C00804","Propynoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00805","Salicylate",1,1,1,1,1,1,1,1,1,1,1,1
"C00808","(+)-Camphor",1,1,1,1,1,1,1,1,1,1,1,0
"C00810","(R)-Acetoin",1,1,1,1,1,1,1,1,1,1,1,1
"C00811","4-Coumarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00813","Barbiturate",1,0,0,0,0,0,0,0,0,0,0,0
"C00814","Biochanin A",1,0,0,0,0,0,0,0,0,0,0,0
"C00815","Citramalate",1,1,1,1,1,1,1,1,1,1,1,1
"C00817","D-Altronate",1,1,1,1,1,1,1,1,1,1,1,1
"C00818","D-Glucarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00819","D-Glutamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00820","D-Threonine",1,1,1,1,1,1,1,1,1,1,1,1
"C00823","1-Hexadecanol",1,1,1,1,1,1,1,1,0,0,0,0
"C00826","L-Arogenate",1,1,1,1,1,1,1,1,1,1,1,1
"C00827","Lactoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00831","Pantetheine",1,1,1,1,1,1,1,1,1,1,1,1
"C00836","Sphinganine",1,1,1,1,1,1,1,1,0,0,0,0
"C00842","dTDP-glucose",1,1,1,1,1,1,0,0,0,0,0,0
"C00844","Prunasin",1,1,1,1,1,1,1,1,0,0,0,0
"C00846","3-Oxoadipate",1,1,1,1,1,1,1,1,1,1,1,1
"C00847","4-Pyridoxate",1,0,0,0,0,0,0,0,0,0,0,0
"C00852","Chlorogenate",1,1,1,1,1,0,0,0,0,0,0,0
"C00855","D-Methionine",1,1,1,1,1,1,1,1,1,1,1,1
"C00857","Deamino-NAD+",1,1,1,1,0,0,0,0,0,0,0,0
"C00858","Formononetin",1,0,0,0,0,0,0,0,0,0,0,0
"C00860","L-Histidinol",1,1,1,1,1,1,1,1,1,1,1,1
"C00861","L-Rhamnulose",1,1,1,1,1,1,1,1,1,1,1,1
"C00864","Pantothenate",1,1,1,1,1,1,1,0,0,0,0,0
"C00877","Crotonoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00878","D-Arabinonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00879","D-Galactarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00880","D-Galactonate",1,1,1,1,1,1,1,1,1,1,1,0
"C00881","Deoxycytidine",1,1,1,1,1,1,1,1,0,0,0,0
"C00882","Dephospho-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00884","Homocarnosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00885","Isochorismate",1,1,1,1,1,1,1,1,1,1,1,1
"C00887","Nitrous oxide",1,1,1,1,1,1,1,1,1,1,1,1
"C00894","Propenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00898","(R,R)-Tartaric acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00900","2-Acetolactate",1,1,1,1,1,1,1,1,1,1,1,1
"C00903","Cinnamaldehyde",1,0,0,0,0,0,0,0,0,0,0,0
"C00904","Citramalyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00905","D-Fructuronate",1,1,1,1,1,1,1,1,1,1,1,1
"C00906","5,6-Dihydrothymine",1,1,1,1,1,1,0,0,0,0,0,0
"C00919","Choline sulfate",1,1,1,1,1,1,1,1,0,0,0,0
"C00920","CoA-glutathione",1,0,0,0,0,0,0,0,0,0,0,0
"C00921","Dihydropteroate",1,1,1,1,1,1,0,0,0,0,0,0
"C00922","2,3-Dimethylmaleate",1,1,1,1,1,1,1,1,1,1,1,1
"C00931","Porphobilinogen",1,1,1,1,1,1,1,1,1,1,1,0
"C00935","UDP-L-arabinose",1,1,1,1,1,1,1,1,1,1,0,0
"C00937","(R)-Lactaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00940","2-Oxoglutaramate",1,1,1,1,1,1,1,1,1,1,1,1
"C00941","3',5'-Cyclic CMP",1,1,1,1,1,1,1,1,1,1,0,0
"C00942","3',5'-Cyclic GMP",1,1,1,1,1,1,0,0,0,0,0,0
"C00944","3-Dehydroquinate",1,1,1,1,1,1,1,1,1,1,1,1
"C00954","Indole-3-acetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00955","Indole-3-ethanol",1,1,1,1,1,1,1,1,1,1,1,1
"C00956","L-2-Aminoadipate",1,1,1,1,1,1,1,1,1,1,1,1
"C00957","Mercaptopyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00966","2-Dehydropantoate",1,1,1,1,1,1,1,1,0,0,0,0
"C00969","3-Hydroxypropanal",1,1,1,1,1,1,1,1,1,1,1,1
"C00971","4-Pyridoxolactone",1,0,0,0,0,0,0,0,0,0,0,0
"C00975","Dihydroxyfumarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00976","GDP-D-mannuronate",1,1,1,1,1,1,0,0,0,0,0,0
"C00977","L-Tryptophanamide",1,1,1,1,1,1,1,1,1,0,0,0
"C00979","O-Acetyl-L-serine",1,1,1,1,1,1,1,1,1,1,1,1
"C00984","alpha-D-Galactose",1,1,1,1,1,1,1,1,1,1,1,0
"C00986","1,3-Diaminopropane",1,1,1,1,1,1,1,1,1,1,1,1
"C00988","2-Phosphoglycolate",1,1,1,1,1,1,1,1,1,1,1,0
"C00989","4-Hydroxybutanoic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00990","5-Aminopentanamide",1,1,1,1,1,1,1,1,1,0,0,0
"C00993","D-Alanyl-D-alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C01004","N-Methylnicotinate",1,1,1,1,0,0,0,0,0,0,0,0
"C01005","O-Phospho-L-serine",1,1,1,1,1,1,1,1,1,1,1,1
"C01007","Reduced riboflavin",1,1,1,0,0,0,0,0,0,0,0,0
"C01010","Urea-1-carboxylate",1,1,1,1,1,1,1,1,1,1,1,1
"C01011","(3S)-Citramalyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C01013","3-Hydroxypropanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C01019","6-Deoxy-L-galactose",1,1,1,1,1,1,1,1,1,1,1,1
"C01020","6-Hydroxynicotinate",1,0,0,0,0,0,0,0,0,0,0,0
"C01024","Hydroxymethylbilane",1,1,1,1,1,1,1,1,1,1,1,0
"C01026","N,N-Dimethylglycine",1,1,1,1,1,1,1,1,1,1,1,1
"C01029","N8-Acetylspermidine",1,1,1,1,1,1,1,1,1,1,1,1
"C01031","S-Formylglutathione",1,0,0,0,0,0,0,0,0,0,0,0
"C01035","4-Guanidinobutanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C01036","4-Maleylacetoacetate",1,1,1,0,0,0,0,0,0,0,0,0
"C01037","7,8-Diaminononanoate",1,1,1,1,1,1,1,1,0,0,0,0
"C01040","L-Gulono-1,4-lactone",1,1,1,1,1,1,1,1,0,0,0,0
"C01041","Monodehydroascorbate",1,0,0,0,0,0,0,0,0,0,0,0
"C01042","N-Acetyl-L-aspartate",1,1,1,1,1,1,1,1,1,1,1,1
"C01043","N-Carbamoylsarcosine",1,1,1,1,1,1,1,1,1,1,1,1
"C01044","N-Formyl-L-aspartate",1,1,1,1,1,1,1,1,1,1,1,1
"C01045","N-Formyl-L-glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C01050","UDP-N-acetylmuramate",1,1,1,1,1,1,1,1,1,1,0,0
"C01051","Uroporphyrinogen III",1,1,1,1,1,1,1,1,1,1,1,0
"C01053","(R)-4-Dehydropantoate",1,1,1,1,1,1,1,0,0,0,0,0
"C01061","4-Fumarylacetoacetate",1,1,1,0,0,0,0,0,0,0,0,0
"C01062","5-Dehydro-D-gluconate",1,1,1,1,1,1,1,1,1,1,0,0
"C01063","6-Carboxyhexanoyl-CoA",1,1,1,1,1,1,1,1,0,0,0,0
"C01068","D-Ribitol 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01073","N-Acetyl-beta-alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C01075","N-Sulfo-D-glucosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C01077","O-Acetyl-L-homoserine",1,1,1,1,1,1,1,1,1,1,1,1
"C01079","Protoporphyrinogen IX",1,1,1,1,1,1,1,1,1,1,1,0
"C01083","alpha,alpha-Trehalose",1,1,1,1,1,1,1,1,1,1,1,1
"C01088","(R)-3,3-Dimethylmalate",1,1,1,1,1,1,1,1,0,0,0,0
"C01089","(R)-3-Hydroxybutanoate",1,1,1,1,1,1,1,1,1,1,1,0
"C01092","8-Amino-7-oxononanoate",1,1,1,1,1,1,1,1,0,0,0,0
"C01094","D-Fructose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01096","Sorbitol 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01097","D-Tagatose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01099","L-Fuculose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01100","L-Histidinol phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01101","L-Ribulose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01102","O-Phospho-L-homoserine",1,1,1,1,1,1,1,1,1,1,1,1
"C01103","Orotidine 5'-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01104","Trimethylamine N-oxide",1,1,1,1,1,1,1,1,0,0,0,0
"C01107","(R)-5-Phosphomevalonate",1,1,1,1,1,1,1,1,1,1,1,0
"C01110","5-Amino-2-oxopentanoic acid",1,1,1,1,1,1,1,1,1,1,1,0
"C01112","D-Arabinose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01113","D-Galactose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01114","L-Arabinono-1,4-lactone",1,1,1,1,1,1,1,1,1,1,1,1
"C01115","L-Galactono-1,4-lactone",1,1,1,1,1,1,1,1,0,0,0,0
"C01118","O-Succinyl-L-homoserine",1,1,1,1,1,1,1,1,1,1,1,1
"C01120","Sphinganine 1-phosphate",1,1,1,1,1,1,1,1,0,0,0,0
"C01121","Streptidine 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C01126","(2E,6E)-Farnesol",1,1,1,1,1,1,1,1,1,1,1,0
"C01127","4-Hydroxy-2-oxoglutarate",1,1,1,1,1,1,1,1,1,1,1,1
"C01131","L-Rhamnulose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01132","N-Acetyl-D-galactosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C01134","Pantetheine 4'-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01137","S-Adenosylmethioninamine",1,1,1,1,1,1,1,1,1,1,1,1
"C01142","(3S)-3,6-Diaminohexanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C01143","(R)-5-Diphosphomevalonate",1,1,1,1,1,1,1,1,1,1,1,0
"C01144","(S)-3-Hydroxybutanoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C01146","2-Hydroxy-3-oxopropanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C01147","2-Hydroxycyclohexan-1-one",1,0,0,0,0,0,0,0,0,0,0,0
"C01151","D-Ribose 1,5-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01152","N(pi)-Methyl-L-histidine",1,1,1,1,1,1,1,1,1,1,1,1
"C01157","Hydroxyproline",1,1,1,1,1,1,1,1,1,1,1,1
"C01159","2,3-Bisphospho-D-glycerate",1,1,1,1,1,1,1,1,1,1,1,1
"C01163","3-Carboxy-cis,cis-muconate",1,1,1,0,0,0,0,0,0,0,0,0
"C01165","L-Glutamate 5-semialdehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C01168","Pseudouridine 5'-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01170","UDP-N-acetyl-D-mannosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C01172","beta-D-Glucose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01177","Inositol 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01179","3-(4-Hydroxyphenyl)pyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C01180","4-Methylthio-2-oxobutanoic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C01182","D-Ribulose 1,5-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01185","Nicotinate D-ribonucleotide",1,1,1,1,0,0,0,0,0,0,0,0
"C01186","(3S,5S)-3,5-Diaminohexanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C01187","3-Deoxy-D-manno-octulosonate",1,1,1,1,1,1,1,1,1,1,1,1
"C01188","3-Hydroxy-2-methylpropanoate",1,1,1,1,1,1,0,0,0,0,0,0
"C01197","Caffeate",1,1,1,1,1,0,0,0,0,0,0,0
"C01201","N(omega)-(ADP-D-ribosyl)-L-arginine",1,0,0,0,0,0,0,0,0,0,0,0
"C01204","Phytic acid",1,1,1,1,1,1,1,1,1,1,0,0
"C01205","(R)-3-Amino-2-methylpropanoate",1,1,1,1,1,1,0,0,0,0,0,0
"C01210","N-Methylethanolamine phosphate",1,1,1,1,1,1,1,1,0,0,0,0
"C01212","UDP-N-acetylmuramoyl-L-alanine",1,1,1,1,1,1,1,1,1,1,0,0
"C01213","(R)-Methylmalonyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C01214","1-Amino-1-deoxy-scyllo-inositol",1,1,1,1,1,1,1,1,1,1,1,0
"C01215","2-(Acetamidomethylene)succinate",1,0,0,0,0,0,0,0,0,0,0,0
"C01216","2-Dehydro-3-deoxy-D-galactonate",1,1,1,1,1,1,1,1,1,1,1,1
"C01218","6-Phospho-2-dehydro-D-gluconate",1,1,1,1,1,1,1,1,1,1,1,1
"C01219","CDP-4-dehydro-6-deoxy-D-glucose",1,1,1,1,1,1,1,1,1,1,0,0
"C01220","1D-myo-Inositol 1,4-bisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01222","GDP-4-dehydro-6-deoxy-D-mannose",1,1,1,1,1,1,0,0,0,0,0,0
"C01225","sn-Glycero-3-phospho-1-inositol",1,1,1,1,1,1,1,1,1,1,1,1
"C01228","Guanosine 3',5'-bis(diphosphate)",1,1,1,1,1,1,0,0,0,0,0,0
"C01230","all-trans-Hexaprenyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C01231","alpha-D-Glucose 1,6-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01233","sn-Glycero-3-phosphoethanolamine",1,1,1,1,1,1,1,1,0,0,0,0
"C01234","1-Aminocyclopropane-1-carboxylate",1,1,1,1,1,1,1,1,1,1,1,1
"C01235","alpha-D-Galactosyl-(1->3)-1D-myo-inositol",1,1,1,1,1,1,1,1,1,1,1,0
"C01236","D-Glucono-1,5-lactone 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01239","N-Acetyl-beta-D-glucosaminylamine",1,1,1,1,1,1,1,1,1,1,1,1
"C01243","1D-myo-Inositol 1,3,4-trisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01245","D-myo-Inositol 1,4,5-trisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01250","N-Acetyl-L-glutamate 5-semialdehyde",1,1,1,1,1,1,1,1,1,1,1,0
"C01251","(R)-2-Hydroxybutane-1,2,4-tricarboxylate",1,1,1,1,1,1,1,1,1,1,1,1
"C01252","4-(2-Aminophenyl)-2,4-dioxobutanoate",1,1,1,0,0,0,0,0,0,0,0,0
"C01255","N-(6-Aminohexanoyl)-6-aminohexanoate",1,0,0,0,0,0,0,0,0,0,0,0
"C01260","P1,P4-Bis(5'-adenosyl)tetraphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01261","P1,P4-Bis(5'-guanosyl) tetraphosphate",1,1,1,1,1,1,0,0,0,0,0,0
"C01262","beta-Alanyl-N(pi)-methyl-L-histidine",1,1,1,1,1,1,1,1,1,1,1,1
"C01267","3-(Imidazol-4-yl)-2-oxopropyl phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01268","5-Amino-6-(5'-phosphoribosylamino)uracil",1,1,1,1,1,1,0,0,0,0,0,0
"C01269","5-O-(1-Carboxyvinyl)-3-phosphoshikimate",1,1,1,1,1,1,1,1,1,1,1,1
"C01270","3-Hydroxy-2-methylpyridine-5-carboxylate",1,0,0,0,0,0,0,0,0,0,0,0
"C01272","1D-myo-Inositol 1,3,4,5-tetrakisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01273","2-Hydroxy-6-oxo-6-phenylhexa-2,4-dienoate",1,0,0,0,0,0,0,0,0,0,0,0
"C01278","2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate",1,1,1,0,0,0,0,0,0,0,0,0
"C01279","4-Amino-5-hydroxymethyl-2-methylpyrimidine",1,1,1,1,1,1,1,1,1,1,1,1
"C01283","1-Amino-1-deoxy-scyllo-inositol 4-phosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C01284","1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C01286","2-Dehydro-3-deoxy-6-phospho-D-galactonate",1,1,1,1,1,1,1,1,1,1,1,1
"C01289","N-Acetyl-D-glucosaminyldiphosphoundecaprenol",1,1,1,1,1,1,1,1,1,1,0,0
"C01291","3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA",1,1,1,1,1,1,1,1,0,0,0,0
"C01294","1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C01298","1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol",1,1,1,1,1,1,1,1,1,1,1,0
"C01300","2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",1,1,1,1,1,1,0,0,0,0,0,0
"C01302","1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C01304","2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",1,1,1,1,1,1,0,0,0,0,0,0
"C01326","Hydrogen cyanide",1,1,1,1,1,1,1,1,1,1,1,1
"C01328","HO-",1,1,1,1,1,1,1,1,1,1,1,1
"C01346","dUDP",1,1,1,1,1,1,1,1,1,1,0,0
"C01353","Carbonic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C01367","3'-AMP",1,1,1,1,1,1,1,1,1,0,0,0
"C01368","3'-UMP",1,1,1,1,1,1,1,1,1,0,0,0
"C01380","Ethylene glycol",1,1,1,1,1,1,1,1,1,1,1,1
"C01384","Maleic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C01401","Alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C01403","Anisole",1,1,1,1,1,1,1,1,1,1,1,1
"C01405","Aspirin",1,1,1,1,1,1,1,1,1,1,1,1
"C01408","Benzoin",1,1,1,1,1,1,1,1,0,0,0,0
"C01412","Butanal",1,1,1,1,1,1,1,1,1,1,0,0
"C01414","Casbene",1,1,1,1,1,1,1,1,1,1,1,0
"C01417","Cyanate",1,1,1,1,1,1,1,1,1,1,1,1
"C01419","Cys-Gly",1,1,1,1,1,1,1,1,1,1,1,1
"C01420","Cystine",1,0,0,0,0,0,0,0,0,0,0,0
"C01444","Oxamate",1,0,0,0,0,0,0,0,0,0,0,0
"C01467","3-Cresol",1,0,0,0,0,0,0,0,0,0,0,0
"C01468","4-Cresol",1,1,1,1,1,1,1,1,1,1,1,1
"C01487","D-Allose",1,1,1,1,1,1,1,1,1,1,1,1
"C01489","D-Iditol",1,1,1,1,1,1,1,1,1,1,1,1
"C01494","Ferulate",1,1,1,1,1,0,0,0,0,0,0,0
"C01499","Geranial",1,1,1,1,1,1,1,1,1,1,1,0
"C01500","Geraniol",1,1,1,1,1,1,1,1,1,1,1,0
"C01502","o-Methoxyphenol",1,1,1,1,1,1,1,1,1,1,1,1
"C01507","L-Iditol",1,1,1,1,1,1,1,1,1,1,1,1
"C01508","L-Lyxose",1,1,1,1,1,1,1,1,1,1,1,1
"C01518","Nigerose",1,1,1,1,1,1,1,1,1,1,1,1
"C01527","Scopolin",1,1,1,1,1,0,0,0,0,0,0,0
"C01530","Octadecanoic acid",1,0,0,0,0,0,0,0,0,0,0,0
"C01537","Urethane",1,1,1,1,1,1,1,1,1,1,1,1
"C01548","Acetylene",1,1,1,1,1,1,1,1,1,1,1,1
"C01563","Carbamate",1,1,1,1,1,1,1,1,1,1,1,1
"C01566","Cyanamide",1,1,1,1,1,1,1,1,1,1,1,1
"C01582","Galactose",1,1,1,1,1,1,1,1,1,1,1,0
"C01586","Hippurate",1,1,1,1,1,1,1,1,1,1,1,1
"C01594","Linamarin",1,1,1,1,1,1,1,1,1,1,1,0
"C01596","Maleamate",1,1,1,1,1,1,1,1,0,0,0,0
"C01602","Ornithine",1,1,1,1,1,1,1,1,1,1,1,0
"C01613","Stachyose",1,1,1,1,1,1,1,1,1,1,1,0
"C01616","Tauropine",1,1,1,1,1,1,1,1,1,1,1,1
"C01623","UDP-apiose",1,1,1,1,1,1,1,1,1,1,0,0
"C01659","Acrylamide",1,1,1,1,1,1,1,1,1,1,1,1
"C01672","Cadaverine",1,1,1,1,1,1,1,1,1,1,1,1
"C01674","Chitobiose",1,1,1,1,1,1,1,1,1,1,1,1
"C01680","D-Fuconate",1,1,1,1,1,1,0,0,0,0,0,0
"C01682","Nopaline",1,0,0,0,0,0,0,0,0,0,0,0
"C01685","D-Ribonate",1,0,0,0,0,0,0,0,0,0,0,0
"C01697","Galactitol",1,1,1,1,1,1,1,1,1,1,1,1
"C01717","4-Hydroxy-2-quinolinecarboxylic acid",1,1,1,0,0,0,0,0,0,0,0,0
"C01720","L-Fuconate",1,1,1,1,1,1,1,1,1,1,1,1
"C01721","L-Fuculose",1,1,1,1,1,1,1,1,1,1,1,1
"C01727","Lumichrome",1,1,1,0,0,0,0,0,0,0,0,0
